gt_x,gt_y,gt_psi,gt_v,f_x,f_y,f_psi,f_v,e_x,e_y,e_psi,e_v
82.0427,-82.2255,1.99586,6.98727,82.0096,-82.5763,1.99225,5.53257,0.0331173,0.350803,0.00361374,1.45471
81.7546,-81.5889,1.99551,6.98855,81.6041,-81.9701,1.99168,5.42694,0.150516,0.381211,0.00382884,1.56161
81.4666,-80.9522,1.99521,6.98969,81.5072,-81.4487,1.99138,5.38413,-0.0405772,0.496541,0.00383625,1.60556
81.1788,-80.3152,1.99497,6.99072,81.1061,-80.6533,1.99128,5.36384,0.0726746,0.338106,0.00369648,1.62689
80.8911,-79.6781,1.99477,6.99165,80.8849,-80.0644,1.99105,5.32993,0.0061394,0.386295,0.00372382,1.66172
80.6034,-79.0408,1.9946,6.99249,80.5127,-79.7246,1.99077,5.28016,0.0907252,0.683786,0.00383795,1.71232
80.3159,-78.4034,1.99447,6.99324,80.0653,-79.0146,1.99053,5.60036,0.250586,0.611112,0.00393825,1.39288
80.0284,-77.7659,1.99435,6.99391,79.9475,-77.8882,1.99018,6.00781,0.0808852,0.122265,0.00417141,0.986102
79.7409,-77.1284,1.99426,6.99452,79.7662,-77.0928,1.99016,5.94944,-0.0252518,-0.0355941,0.00410104,1.04508
79.4535,-76.4907,1.99418,6.99507,79.2862,-76.4311,1.99003,5.99292,0.167331,-0.0595781,0.00414733,1.00215
79.1661,-75.8529,1.99411,6.99556,78.9158,-75.7841,1.99015,6.00907,0.250279,-0.068817,0.00396396,0.986495
78.8788,-75.2151,1.99406,6.99601,78.8021,-75.1204,1.99026,6.07258,0.0766623,-0.0946888,0.0037974,0.923429
78.5914,-74.5773,1.99401,6.99641,78.6122,-74.6159,1.99016,6.2588,-0.0208236,0.0386237,0.00385194,0.737609
78.3041,-73.9394,1.99398,6.99677,78.5487,-73.9945,1.99001,6.3818,-0.244626,0.0551623,0.00396492,0.614964
78.0167,-73.3014,1.99395,6.99709,78.1846,-73.5927,1.99001,6.45249,-0.167876,0.291313,0.00393211,0.544595
77.7294,-72.6634,1.99392,6.99738,77.8432,-72.5707,1.98972,6.69759,-0.113784,-0.0926785,0.0041982,0.299786
77.4421,-72.0254,1.9939,6.99764,77.3994,-72.1061,1.98995,6.78635,0.0426815,0.0806953,0.00394447,0.211295
77.1548,-71.3873,1.99388,6.99788,77.1034,-71.2844,1.99008,6.9661,0.0513402,-0.102918,0.00380382,0.0317786
76.8675,-70.7492,1.99387,6.99809,77.1028,-71.2048,1.99034,6.62278,-0.235326,0.455574,0.00352793,0.375307
76.5801,-70.1111,1.99385,6.99828,76.8692,-70.2318,1.99052,6.8581,-0.289084,0.120709,0.00333029,0.140184
76.2928,-69.473,1.99384,6.99845,76.2159,-69.5066,1.99042,6.90149,0.0769384,0.0336482,0.00342183,0.0969658
76.0055,-68.8349,1.99384,6.99861,75.7911,-68.8577,1.99049,7.09092,0.21446,0.0228291,0.00334686,-0.0923123
75.7182,-68.1967,1.99383,6.99875,75.5543,-67.9399,1.99053,7.24355,0.16386,-0.256771,0.0032978,-0.244805
75.4309,-67.5585,1.99382,6.99887,75.1163,-67.4367,1.99063,7.2254,0.314616,-0.12184,0.00319685,-0.226524
75.1436,-66.9203,1.99382,6.99898,75.0395,-66.5639,1.99053,7.34378,0.104033,-0.356423,0.00328538,-0.344793
